umur,-3 SD,-2 SD,-1 SD,Median,+1 SD,+2 SD,+3 SD
0,10.1,11.1,12.2,13.3,14.6,16.1,17.7
1,10.8,12,13.2,14.6,16,17.5,19.1
2,11.8,13,14.3,15.8,17.3,19,20.7
3,12.4,13.6,14.9,16.4,17.9,19.7,21.5
4,12.7,13.9,15.2,16.7,18.3,20,22
5,12.9,14.1,15.4,16.8,18.4,20.2,22.2
6,13,14.1,15.5,16.9,18.5,20.3,22.3
7,13,14.2,15.5,16.9,18.5,20.3,22.3
8,13,14.1,15.4,16.8,18.4,20.2,22.2
9,12.9,14.1,15.3,16.7,18.3,20.1,22.1
10,12.9,14,15.2,16.6,18.2,19.9,21.9
11,12.8,13.9,15.1,16.5,18,19.8,21.8
12,12.7,13.8,15,16.4,17.9,19.6,21.6
13,12.6,13.7,14.9,16.2,17.7,19.5,21.4
14,12.6,13.6,14.8,16.1,17.6,19.3,21.3
15,12.5,13.5,14.7,16,17.5,19.2,21.1
16,12.4,13.5,14.6,15.9,17.4,19.1,21
17,12.4,13.4,14.5,15.8,17.3,18.9,20.9
18,12.3,13.3,14.4,15.7,17.2,18.8,20.8
19,12.3,13.3,14.4,15.7,17.1,18.8,20.7
20,12.2,13.2,14.3,15.6,17,18.7,20.6
21,12.2,13.2,14.3,15.5,17,18.6,20.5
22,12.2,13.1,14.2,15.5,16.9,18.5,20.4
23,12.2,13.1,14.2,15.4,16.9,18.5,20.4
24,12.1,13.1,14.2,15.4,16.8,18.4,20.3
24,12.4,13.3,14.4,15.7,17.1,18.7,20.6
25,12.4,13.3,14.4,15.7,17.1,18.7,20.6
26,12.3,13.3,14.4,15.6,17,18.7,20.6
27,12.3,13.3,14.4,15.6,17,18.6,20.5
28,12.3,13.3,14.3,15.6,17,18.6,20.5
29,12.3,13.2,14.3,15.6,17,18.6,20.4
30,12.3,13.2,14.3,15.5,16.9,18.5,20.4
31,12.2,13.2,14.3,15.5,16.9,18.5,20.4
32,12.2,13.2,14.3,15.5,16.9,18.5,20.4
33,12.2,13.1,14.2,15.5,16.9,18.5,20.3
34,12.2,13.1,14.2,15.4,16.8,18.5,20.3
35,12.1,13.1,14.2,15.4,16.8,18.4,20.3
36,12.1,13.1,14.2,15.4,16.8,18.4,20.3
37,12.1,13.1,14.1,15.4,16.8,18.4,20.3
38,12.1,13,14.1,15.4,16.8,18.4,20.3
39,12,13,14.1,15.3,16.8,18.4,20.3
40,12,13,14.1,15.3,16.8,18.4,20.3
41,12,13,14.1,15.3,16.8,18.4,20.4
42,12,12.9,14,15.3,16.8,18.4,20.4
43,11.9,12.9,14,15.3,16.8,18.4,20.4
44,11.9,12.9,14,15.3,16.8,18.5,20.4
45,11.9,12.9,14,15.3,16.8,18.5,20.5
46,11.9,12.9,14,15.3,16.8,18.5,20.5
47,11.8,12.8,14,15.3,16.8,18.5,20.5
48,11.8,12.8,14,15.3,16.8,18.5,20.6
49,11.8,12.8,13.9,15.3,16.8,18.5,20.6
50,11.8,12.8,13.9,15.3,16.8,18.6,20.7
51,11.8,12.8,13.9,15.3,16.8,18.6,20.7
52,11.7,12.8,13.9,15.2,16.8,18.6,20.7
53,11.7,12.7,13.9,15.3,16.8,18.6,20.8
54,11.7,12.7,13.9,15.3,16.8,18.7,20.8
55,11.7,12.7,13.9,15.3,16.8,18.7,20.9
56,11.7,12.7,13.9,15.3,16.8,18.7,20.9
57,11.7,12.7,13.9,15.3,16.9,18.7,21
58,11.7,12.7,13.9,15.3,16.9,18.8,21
59,11.6,12.7,13.9,15.3,16.9,18.8,21
60,11.6,12.7,13.9,15.3,16.9,18.8,21.1
